feature,coef
cats,0.13120675351289574
web_publishing,0.12972357077158483
steam cloud,0.11834941140156353
baseball,0.10622862740746714
faith,0.1042423980087736
steam trading cards,0.10123162448356945
minimalist,0.07953507227058323
classic,0.06236977710515944
rhythm,0.06189722370650366
mythology,0.06164069081461478
steam workshop,0.05399908703113026
relaxing,0.051961402834056515
music,0.046294808889050736
point_&_click,0.04437677415143009
visual_novel,0.04376453485273184
puzzle,0.04090636321921174
rpgmaker,0.04074529677955349
vr,0.04006542444606437
text_based,0.03187416446794507
pixel_graphics,0.031408698120316526
mac,0.028878510974452605
soundtrack,0.02848726197617235
local_co_op,0.027816952471553337
surreal,0.026988094397667615
turn_based,0.025700129212226863
comedy,0.025429042492730924
rts,0.023608880310750445
cute,0.022053270414377553
great_soundtrack,0.021408948439075315
shoot_em_up,0.02133514543097763
memes,0.020374248941495834
arcade,0.01961613858537488
tower_defense,0.019257072473773625
platformer,0.018798841492890888
2d,0.015937370882191156
anime,0.014863216923396433
mystery,0.013239406310161303
rogue_like,0.01318909279070631
funny,0.013144237799910712
vr support,0.011971365169232959
cyberpunk,0.011818057891867446
racing,0.010954714907262185
singleplayer,0.0109404729945998
mmorpg,0.009552080096072788
survival_horror,0.009075720762940965
horror,0.008650016642751147
action_adventure,0.00816093473727697
indie,0.006892952123404672
female_protagonist,0.006538009182677163
interactive_fiction,0.005990560194942426
sexual_content,0.004965334987685801
free_to_play,0.004727463163262222
early_access,0.004141686284620124
exploration,0.004086048063463027
fps,0.0037860404533022144
utilities,0.0036713388423070207
co_op,0.003585712661035417
historical,0.002655309508602187
difficult,0.002479280661377409
sandbox,0.0020378993517878585
simulation,0.0018951284421206366
multiplayer,0.0016867506730124304
violent,0.0015692762532147516
action,0.0015301257539836119
open_world,0.0009238323698579785
world_war_ii,0.00047996595212773153
online_co_op,-0.0007480699725487996
pvp,-0.0010166625046645022
price,-0.0010591564694332643
competitive,-0.0014932189273666686
survival,-0.0025835121333049756
sports,-0.0033273556372656796
crafting,-0.00430982835037265
dark,-0.005240126637177911
adventure,-0.005277778735358379
zombies,-0.005913048675401425
dating_sim,-0.007146499248847437
casual,-0.007726086529876322
walking_simulator,-0.00885549674698299
illuminati,-0.011853776206915526
experimental,-0.012061987119427001
replay_value,-0.01242932315512572
family_friendly,-0.012531367239656574
massively_multiplayer,-0.012557104131347528
online multi-player,-0.012593119665243043
souls_like,-0.013715430503893627
mmo,-0.014744362779674825
jrpg,-0.01664212866477958
in-app purchases,-0.01977471066621745
multi-player,-0.02393936873696801
dark_humor,-0.03347364457197036
puzzle_platformer,-0.03674752012505533
colorful,-0.03700092080009579
old_school,-0.04055943060055127
america,-0.0424439578591108
abstract,-0.07105914353716879
stylized,-0.0837796547308024
cheap,-0.14575063552071782
very_cheap,-0.5403346208265762
english,-0.5950933298049252
